Acinetobacter_baumannii	GCF_001863815.1_ASM186381v1_genomic
Acinetobacter_baumannii	GCF_001863835.1_ASM186383v1_genomic
Acinetobacter_baumannii	GCF_001863855.1_ASM186385v1_genomic
Acinetobacter_baumannii	GCF_001863865.1_ASM186386v1_genomic
Acinetobacter_baumannii	GCF_001863875.1_ASM186387v1_genomic
Acinetobacter_baumannii	GCF_001863905.1_ASM186390v1_genomic
Acinetobacter_baumannii	GCF_001863935.1_ASM186393v1_genomic
Acinetobacter_baumannii	GCF_001863955.1_ASM186395v1_genomic
Acinetobacter_baumannii	GCF_001863965.1_ASM186396v1_genomic
Acinetobacter_baumannii	GCF_001863975.1_ASM186397v1_genomic
Acinetobacter_baumannii	GCF_001864015.1_ASM186401v1_genomic
Acinetobacter_baumannii	GCF_001864035.1_ASM186403v1_genomic
Acinetobacter_baumannii	GCF_001864045.1_ASM186404v1_genomic
Acinetobacter_baumannii	GCF_001864065.1_ASM186406v1_genomic
Acinetobacter_baumannii	GCF_001864095.1_ASM186409v1_genomic
Acinetobacter_baumannii	GCF_001864115.1_ASM186411v1_genomic
Acinetobacter_baumannii	GCF_001864125.1_ASM186412v1_genomic
Acinetobacter_baumannii	GCF_001864155.1_ASM186415v1_genomic
Acinetobacter_baumannii	GCF_001864165.1_ASM186416v1_genomic
Acinetobacter_baumannii	GCF_001864195.1_ASM186419v1_genomic
Acinetobacter_baumannii	GCF_001864235.1_ASM186423v1_genomic
Acinetobacter_baumannii	GCF_001864275.1_ASM186427v1_genomic
Acinetobacter_baumannii	GCF_001864285.1_ASM186428v1_genomic
Acinetobacter_baumannii	GCF_001864305.1_ASM186430v1_genomic
Acinetobacter_baumannii	GCF_001864315.1_ASM186431v1_genomic
Acinetobacter_baumannii	GCF_001864355.1_ASM186435v1_genomic
Acinetobacter_baumannii	GCF_001864375.1_ASM186437v1_genomic
Acinetobacter_baumannii	GCF_001864385.1_ASM186438v1_genomic
Acinetobacter_baumannii	GCF_001864395.1_ASM186439v1_genomic
Acinetobacter_baumannii	GCF_001864435.1_ASM186443v1_genomic
Acinetobacter_baumannii	GCF_001864455.1_ASM186445v1_genomic
Acinetobacter_baumannii	GCF_001864465.1_ASM186446v1_genomic
Acinetobacter_baumannii	GCF_001864475.1_ASM186447v1_genomic
Acinetobacter_baumannii	GCF_001864505.1_ASM186450v1_genomic
Acinetobacter_baumannii	GCF_001864535.1_ASM186453v1_genomic
Acinetobacter_baumannii	GCF_001864555.1_ASM186455v1_genomic
Acinetobacter_baumannii	GCF_001864565.1_ASM186456v1_genomic
Acinetobacter_baumannii	GCF_001864575.1_ASM186457v1_genomic
Acinetobacter_baumannii	GCF_001864615.1_ASM186461v1_genomic
Acinetobacter_baumannii	GCF_001864635.1_ASM186463v1_genomic
Acinetobacter_baumannii	GCF_001864655.1_ASM186465v1_genomic
Acinetobacter_baumannii	GCF_001864665.1_ASM186466v1_genomic
Acinetobacter_baumannii	GCF_001864675.1_ASM186467v1_genomic
Acinetobacter_baumannii	GCF_001864715.1_ASM186471v1_genomic
Acinetobacter_baumannii	GCF_001864745.1_ASM186474v1_genomic
Acinetobacter_baumannii	GCF_001864755.1_ASM186475v1_genomic
Acinetobacter_baumannii	GCF_001864795.1_ASM186479v1_genomic
Acinetobacter_baumannii	GCF_001864815.1_ASM186481v1_genomic
Acinetobacter_baumannii	GCF_001874685.1_ASM187468v1_genomic
Acinetobacter_baumannii	GCF_001874765.1_ASM187476v1_genomic
Acinetobacter_baumannii	GCF_001874885.1_ASM187488v1_genomic
Acinetobacter_baumannii	GCF_001874915.1_ASM187491v1_genomic
Acinetobacter_baumannii	GCF_001874945.1_ASM187494v1_genomic
Acinetobacter_baumannii	GCF_001891205.1_ASM189120v1_genomic
Acinetobacter_baumannii	GCF_001895125.1_ASM189512v1_genomic
Acinetobacter_baumannii	GCF_001907125.1_ASM190712v1_genomic
Acinetobacter_baumannii	GCF_001907145.1_ASM190714v1_genomic
Acinetobacter_baumannii	GCF_001907155.1_ASM190715v1_genomic
Acinetobacter_baumannii	GCF_001909135.1_ASM190913v1_genomic
Acinetobacter_baumannii	GCF_001910585.1_ASM191058v1_genomic
Acinetobacter_baumannii	GCF_001910595.1_ASM191059v1_genomic
Acinetobacter_baumannii	GCF_001910605.1_ASM191060v1_genomic
Acinetobacter_baumannii	GCF_001910615.1_ASM191061v1_genomic
Acinetobacter_baumannii	GCF_001910665.1_ASM191066v1_genomic
Acinetobacter_baumannii	GCF_001910675.1_ASM191067v1_genomic
Acinetobacter_baumannii	GCF_001910685.1_ASM191068v1_genomic
Acinetobacter_baumannii	GCF_001922635.1_ASM192263v1_genomic
Acinetobacter_baumannii	GCF_001922685.1_ASM192268v1_genomic
Acinetobacter_baumannii	GCF_001922695.1_ASM192269v1_genomic
Acinetobacter_baumannii	GCF_001922705.1_ASM192270v1_genomic
Acinetobacter_baumannii	GCF_001922745.1_ASM192274v1_genomic
Acinetobacter_baumannii	GCF_001922755.1_ASM192275v1_genomic
Acinetobacter_baumannii	GCF_001923005.1_ASM192300v1_genomic
Acinetobacter_baumannii	GCF_001936675.1_ASM193667v1_genomic
Acinetobacter_baumannii	GCF_001939595.1_ASM193959v1_genomic
Acinetobacter_baumannii	GCF_001939605.1_ASM193960v1_genomic
Acinetobacter_baumannii	GCF_001939665.1_ASM193966v1_genomic
Acinetobacter_baumannii	GCF_001949935.1_ASM194993v1_genomic
Acinetobacter_baumannii	GCF_001949945.1_ASM194994v1_genomic
Acinetobacter_baumannii	GCF_001949955.1_ASM194995v1_genomic
Acinetobacter_baumannii	GCF_001949965.1_ASM194996v1_genomic
Acinetobacter_baumannii	GCF_001950035.1_ASM195003v1_genomic
Acinetobacter_baumannii	GCF_001950065.1_ASM195006v1_genomic
Acinetobacter_baumannii	GCF_001950085.1_ASM195008v1_genomic
Acinetobacter_baumannii	GCF_001950095.1_ASM195009v1_genomic
Acinetobacter_baumannii	GCF_001950155.1_ASM195015v1_genomic
Acinetobacter_baumannii	GCF_001950165.1_ASM195016v1_genomic
Acinetobacter_baumannii	GCF_001950195.1_ASM195019v1_genomic
Acinetobacter_baumannii	GCF_001950215.1_ASM195021v1_genomic
Acinetobacter_baumannii	GCF_001950265.1_ASM195026v1_genomic
Acinetobacter_baumannii	GCF_001950285.1_ASM195028v1_genomic
Acinetobacter_baumannii	GCF_001950295.1_ASM195029v1_genomic
Acinetobacter_baumannii	GCF_001950315.1_ASM195031v1_genomic
Acinetobacter_baumannii	GCF_001997285.1_ASM199728v1_genomic
Acinetobacter_baumannii	GCF_002006635.1_ASM200663v1_genomic
Acinetobacter_baumannii	GCF_002006655.1_ASM200665v1_genomic
Acinetobacter_baumannii	GCF_002006665.1_ASM200666v1_genomic
Acinetobacter_baumannii	GCF_900010325.1_BAL_242_assembly_genomic
